date,neso
2024-04-01,1554556.4269999021
2024-04-02,1756229.3861137298
2024-04-03,3918104.6682844907
2024-04-04,825851.5568196054
2024-04-05,2300983.2552882605
2024-04-06,8467168.531217415
2024-04-07,8687852.737047141
2024-04-08,4788102.135080976
2024-04-09,5301301.25103053
2024-04-10,4395699.371931924
2024-04-11,7552555.754296596
2024-04-12,7765435.798856181
2024-04-13,9500493.813117376
2024-04-14,10607411.26970746
2024-04-15,8111443.792191603
2024-04-16,6350841.031700763
2024-04-17,2830868.2154087177
2024-04-18,5504378.167309973
2024-04-19,7254768.821621647
2024-04-20,1794481.5426109792
2024-04-21,2317901.8155920575
2024-04-22,1763538.9757850065
2024-04-23,2296493.737269747
2024-04-24,1035504.63868095
2024-04-25,932931.8704704905
2024-04-26,471499.98745459405
2024-04-27,941737.3005223054
2024-04-28,4429510.216003446
2024-04-29,9097252.519923113
2024-04-30,7669763.367227928
2024-05-01,941580.2282148424
2024-05-02,3068852.9250751473
2024-05-03,1518754.4655508893
2024-05-04,1087204.7886763103
2024-05-05,516728.11030691164
2024-05-06,432741.03575471137
2024-05-07,531325.4100878669
2024-05-08,1815854.5620273042
2024-05-09,1991084.6290274246
2024-05-10,703980.6301981725
2024-05-11,4005824.6005076836
2024-05-12,9367804.053005192
2024-05-13,4649060.979588796
2024-05-14,4923044.449111359
2024-05-15,3473502.1247109673
2024-05-16,1893637.5471929868
2024-05-17,1025595.1325143899
2024-05-18,1360434.2748632662
2024-05-19,1353446.716455084
2024-05-20,602967.3312817825
2024-05-21,184337.60466645376
2024-05-22,3597067.8243801137
2024-05-23,3140303.656283483
2024-05-24,274727.3542818083
2024-05-25,1801807.523426713
2024-05-26,3757997.758134862
2024-05-27,992463.4929258543
2024-05-28,1467272.4338243732
2024-05-29,1030079.9145546824
2024-05-30,4735426.524063661
2024-05-31,2138662.054650341
2024-06-01,3342340.2253919975
2024-06-02,5019349.813333258
2024-06-03,7314754.790905206
2024-06-04,9566233.666293006
2024-06-05,5241249.995345876
2024-06-06,1895748.8920690024
2024-06-07,5927996.954557007
2024-06-08,10611080.824918775
2024-06-09,5991239.594938844
2024-06-10,7910104.614581813
2024-06-11,5640204.86398764
2024-06-12,2728384.6782161156
2024-06-13,5170441.184600999
2024-06-14,4610044.25667321
2024-06-15,4787559.486089648
2024-06-16,4380117.079918115
2024-06-17,1276508.1949893944
2024-06-18,884492.8893475618
2024-06-19,3650867.369857687
2024-06-20,1583007.3991891195
2024-06-21,2522587.371684588
2024-06-22,2310662.5504069193
2024-06-23,1824930.7228594355
2024-06-24,1010832.0554913436
2024-06-25,355900.7017465476
2024-06-26,1900732.1265341986
2024-06-27,11915713.484510617
2024-06-28,13943980.786363665
2024-06-29,5191334.949772457
2024-06-30,3093690.4548863843
2024-07-01,2955332.2459329693
2024-07-02,1161450.439808692
2024-07-03,7344215.531814947
2024-07-04,12274694.059174681
2024-07-05,4615597.496208055
2024-07-06,3006916.9609923437
2024-07-07,1638925.548558416
2024-07-08,278070.3942901877
2024-07-09,1411422.749197548
2024-07-10,5073211.525307629
2024-07-11,3686879.0011858144
2024-07-12,322227.11271073075
2024-07-13,1347722.266826121
2024-07-14,2229228.908740197
2024-07-15,487028.32741361845
2024-07-16,635476.7586018776
2024-07-17,464895.8566522125
2024-07-18,1885272.3052671708
2024-07-19,1954387.1766835337
2024-07-20,715496.6635392987
2024-07-21,1889552.8583306067
2024-07-22,1195609.508130634
2024-07-23,322005.24484454084
2024-07-24,1131012.2963731773
2024-07-25,1073341.8082631005
2024-07-26,572934.0705322044
2024-07-27,149123.47871125507
2024-07-28,557327.9461265064
2024-07-29,1095861.69194423
2024-07-30,1695761.1969786668
2024-07-31,286166.3692277644
2024-08-01,425117.28829434613
2024-08-02,2028678.511743506
2024-08-03,1031514.0064599274
2024-08-04,4470685.721985157
2024-08-05,5839444.37329447
2024-08-06,2703461.683639769
2024-08-07,9013582.361768749
2024-08-08,4412674.049983228
2024-08-09,9839070.698360967
2024-08-10,8855944.530104535
2024-08-11,3067504.7266841307
