lever,value,RC,R_cong,M,Gamma
B6_limit_MW,4000.0,11543906.879800001,11543906.879800003,0.0,11543906.879800001
B6_limit_MW,5000.0,7419606.8798,7419606.8798,0.0,7419606.8798
B6_limit_MW,6100.0,2882876.8797999993,2882876.879799999,0.0,2882876.8797999993
B6_limit_MW,7000.0,331044.1019750001,331044.101975,0.0,331044.1019750001
B6_limit_MW,8000.0,0.0,0.0,0.0,0.0
B6_limit_MW,9000.0,0.0,0.0,0.0,0.0
wind_scale,0.8,0.0,0.0,0.0,0.0
wind_scale,1.0,2882876.8797999993,2882876.879799999,0.0,2882876.8797999993
wind_scale,1.2,8880604.739799997,8880604.739799997,0.0,8880604.739799997
wind_scale,1.4,14878332.599799998,14878332.599799996,0.0,14878332.599799998
wind_scale,1.6,20876060.4598,20876060.4598,0.0,20876060.4598
flex_mw,0.0,2882876.8797999993,2882876.879799999,0.0,2882876.8797999993
flex_mw,1000.0,186482.6544000001,186482.6544,0.0,186482.6544000001
flex_mw,2000.0,0.0,0.0,0.0,0.0
flex_mw,3000.0,0.0,0.0,0.0,0.0
flex_mw,4000.0,0.0,0.0,0.0,0.0
markup_mu,0.0,2882876.8797999993,2882876.879799999,0.0,2882876.8797999993
markup_mu,0.15,2882876.8797999993,2882876.879799999,184036.74215625133,3066913.6219562506
markup_mu,0.3,2882876.8797999993,2882876.879799999,368073.48431250127,3250950.3641125006
markup_mu,0.45,2882876.8797999993,2882876.879799999,552110.2264687507,3434987.10626875
